F_id1,F_id2,Hamming Distance
f_63,f_189,4
f_63,f_77,10
f_63,f_162,6
f_63,f_176,5
f_63,f_88,7
f_63,f_228,5
f_63,f_214,5
f_63,f_200,3
f_63,f_201,8
f_63,f_215,5
f_63,f_229,6
f_63,f_177,5
f_63,f_89,7
f_63,f_163,2
f_63,f_188,3
f_63,f_76,7
f_63,f_62,3
f_63,f_74,8
f_63,f_60,4
f_63,f_48,2
f_63,f_149,2
f_63,f_175,4
f_63,f_161,8
f_63,f_203,5
f_63,f_217,5
f_63,f_216,6
f_63,f_202,6
f_63,f_160,7
f_63,f_174,9
f_63,f_148,2
f_63,f_49,4
f_63,f_61,6
f_63,f_75,8
f_63,f_59,3
f_63,f_71,11
f_63,f_65,5
f_63,f_170,4
f_63,f_164,3
f_63,f_158,2
f_63,f_206,6
f_63,f_212,6
f_63,f_213,5
f_63,f_207,4
f_63,f_159,4
f_63,f_165,5
f_63,f_171,3
f_63,f_64,3
f_63,f_70,6
f_63,f_58,6
f_63,f_8,4
f_63,f_198,2
f_63,f_66,4
f_63,f_72,6
f_63,f_167,7
f_63,f_99,8
f_63,f_173,7
f_63,f_211,4
f_63,f_205,7
f_63,f_239,4
f_63,f_238,9
f_63,f_204,5
f_63,f_210,4
f_63,f_172,4
f_63,f_166,2
f_63,f_98,9
f_63,f_73,6
f_63,f_199,8
f_63,f_67,3
f_63,f_9,7
f_63,f_14,9
f_63,f_28,5
f_63,f_129,4
f_63,f_101,2
f_63,f_115,9
f_63,f_303,10
f_63,f_317,6
f_63,f_288,3
f_63,f_277,7
f_63,f_263,5
f_63,f_262,7
f_63,f_276,7
f_63,f_289,4
f_63,f_316,11
f_63,f_302,16
f_63,f_114,9
f_63,f_100,9
f_63,f_128,7
f_63,f_29,5
f_63,f_15,8
f_63,f_17,7
f_63,f_116,6
f_63,f_102,3
f_63,f_314,9
f_63,f_300,5
f_63,f_248,9
f_63,f_260,6
f_63,f_274,6
f_63,f_275,7
f_63,f_261,5
f_63,f_249,5
f_63,f_301,5
f_63,f_315,9
f_63,f_103,2
f_63,f_117,4
f_63,f_16,9
f_63,f_12,9
f_63,f_113,5
f_63,f_107,4
f_63,f_311,2
f_63,f_305,7
f_63,f_265,7
f_63,f_271,5
f_63,f_259,5
f_63,f_258,6
f_63,f_270,7
f_63,f_264,8
f_63,f_304,5
f_63,f_310,5
f_63,f_106,5
f_63,f_112,7
f_63,f_13,8
f_63,f_39,10
f_63,f_11,11
f_63,f_104,4
f_63,f_110,4
f_63,f_138,7
f_63,f_306,6
f_63,f_312,7
f_63,f_299,9
f_63,f_272,4
f_63,f_266,7
f_63,f_267,4
f_63,f_273,5
f_63,f_298,8
f_63,f_313,7
f_63,f_307,5
f_63,f_139,3
f_63,f_111,2
f_63,f_105,2
f_63,f_10,10
f_63,f_38,11
f_63,f_21,8
f_63,f_35,11
f_63,f_108,7
f_63,f_120,6
f_63,f_134,4
f_63,f_295,8
f_63,f_281,8
f_63,f_256,8
f_63,f_242,2
f_63,f_243,10
f_63,f_257,8
f_63,f_280,4
f_63,f_294,8
f_63,f_135,4
f_63,f_121,3
f_63,f_109,8
f_63,f_34,10
f_63,f_20,8
f_63,f_36,10
f_63,f_22,4
f_63,f_137,6
f_63,f_123,6
f_63,f_309,4
f_63,f_282,4
f_63,f_296,5
f_63,f_269,4
f_63,f_241,5
f_63,f_255,5
f_63,f_254,5
f_63,f_240,6
f_63,f_268,22
f_63,f_297,6
f_63,f_283,5
f_63,f_320,5
f_63,f_308,7
f_63,f_122,5
f_63,f_136,3
f_63,f_23,8
f_63,f_37,8
f_63,f_33,10
f_63,f_27,6
f_63,f_132,8
f_63,f_126,9
f_63,f_318,4
f_63,f_287,6
f_63,f_293,5
f_63,f_244,9
f_63,f_250,5
f_63,f_278,4
f_63,f_279,5
f_63,f_251,4
f_63,f_245,10
f_63,f_292,7
f_63,f_286,7
f_63,f_319,6
f_63,f_127,10
f_63,f_133,9
f_63,f_26,8
f_63,f_32,8
f_63,f_18,5
f_63,f_24,5
f_63,f_30,8
f_63,f_125,8
f_63,f_131,9
f_63,f_119,5
f_63,f_290,11
f_63,f_284,8
f_63,f_253,6
f_63,f_247,9
f_63,f_246,2
f_63,f_252,8
f_63,f_285,9
f_63,f_291,4
f_63,f_118,7
f_63,f_130,7
f_63,f_124,9
f_63,f_31,9
f_63,f_25,9
f_63,f_19,11
f_63,f_42,1
f_63,f_4,6
f_63,f_56,6
f_63,f_180,5
f_63,f_194,5
f_63,f_81,11
f_63,f_95,9
f_63,f_143,2
f_63,f_157,3
f_63,f_209,3
f_63,f_235,4
f_63,f_221,6
f_63,f_220,4
f_63,f_234,13
f_63,f_208,5
f_63,f_156,8
f_63,f_142,5
f_63,f_94,8
f_63,f_80,5
f_63,f_195,4
f_63,f_181,4
f_63,f_5,8
f_63,f_57,4
f_63,f_43,3
f_63,f_55,5
f_63,f_7,3
f_63,f_41,5
f_63,f_69,7
f_63,f_197,5
f_63,f_183,7
f_63,f_96,9
f_63,f_168,8
f_63,f_82,8
f_63,f_154,5
f_63,f_140,9
f_63,f_222,5
f_63,f_236,1
f_63,f_237,9
f_63,f_223,8
f_63,f_141,9
f_63,f_155,5
f_63,f_83,6
f_63,f_97,8
f_63,f_169,4
f_63,f_182,6
f_63,f_68,4
f_63,f_196,4
f_63,f_40,10
f_63,f_54,5
f_63,f_6,10
f_63,f_192,6
f_63,f_78,6
f_63,f_186,7
f_63,f_2,1
f_63,f_50,4
f_63,f_44,4
f_63,f_151,5
f_63,f_145,2
f_63,f_93,11
f_63,f_87,8
f_63,f_179,2
f_63,f_227,15
f_63,f_233,6
f_63,f_232,5
f_63,f_226,7
f_63,f_86,11
f_63,f_178,5
f_63,f_92,7
f_63,f_144,4
f_63,f_150,6
f_63,f_45,4
f_63,f_3,3
f_63,f_51,5
f_63,f_79,7
f_63,f_187,8
f_63,f_193,6
f_63,f_185,6
f_63,f_191,6
f_63,f_47,4
f_63,f_53,4
f_63,f_1,5
f_63,f_146,4
f_63,f_152,6
f_63,f_84,5
f_63,f_90,5
f_63,f_230,8
f_63,f_224,7
f_63,f_218,4
f_63,f_219,7
f_63,f_225,4
f_63,f_231,6
f_63,f_91,14
f_63,f_85,7
f_63,f_153,5
f_63,f_147,7
f_63,f_52,5
f_63,f_46,6
f_63,f_190,0
f_63,f_184,8
f_189,f_77,8
f_189,f_162,8
f_189,f_176,9
f_189,f_88,5
f_189,f_228,7
f_189,f_214,5
f_189,f_200,7
f_189,f_201,6
f_189,f_215,5
f_189,f_229,10
f_189,f_177,9
f_189,f_89,7
f_189,f_163,2
f_189,f_188,3
f_189,f_76,9
f_189,f_62,7
f_189,f_74,10
f_189,f_60,2
f_189,f_48,2
f_189,f_149,4
f_189,f_175,8
f_189,f_161,12
f_189,f_203,5
f_189,f_217,7
f_189,f_216,10
f_189,f_202,6
f_189,f_160,7
f_189,f_174,11
f_189,f_148,6
f_189,f_49,8
f_189,f_61,6
f_189,f_75,10
f_189,f_59,1
f_189,f_71,13
f_189,f_65,5
f_189,f_170,8
f_189,f_164,5
f_189,f_158,4
f_189,f_206,4
f_189,f_212,6
f_189,f_213,7
f_189,f_207,4
f_189,f_159,8
f_189,f_165,9
f_189,f_171,3
f_189,f_64,3
f_189,f_70,8
f_189,f_58,4
f_189,f_8,8
f_189,f_198,4
f_189,f_66,4
f_189,f_72,8
f_189,f_167,9
f_189,f_99,10
f_189,f_173,9
f_189,f_211,4
f_189,f_205,9
f_189,f_239,6
f_189,f_238,7
f_189,f_204,5
f_189,f_210,4
f_189,f_172,8
f_189,f_166,4
f_189,f_98,11
f_189,f_73,8
f_189,f_199,12
f_189,f_67,5
f_189,f_9,11
f_189,f_14,11
f_189,f_28,5
f_189,f_129,8
f_189,f_101,2
f_189,f_115,11
f_189,f_303,8
f_189,f_317,10
f_189,f_288,3
f_189,f_277,5
f_189,f_263,5
f_189,f_262,7
f_189,f_276,5
f_189,f_289,4
f_189,f_316,13
f_189,f_302,14
f_189,f_114,11
f_189,f_100,11
f_189,f_128,11
f_189,f_29,7
f_189,f_15,10
f_189,f_17,9
f_189,f_116,6
f_189,f_102,5
f_189,f_314,9
f_189,f_300,9
f_189,f_248,7
f_189,f_260,10
f_189,f_274,10
f_189,f_275,7
f_189,f_261,5
f_189,f_249,3
f_189,f_301,5
f_189,f_315,7
f_189,f_103,2
f_189,f_117,6
f_189,f_16,11
f_189,f_12,13
f_189,f_113,7
f_189,f_107,6
f_189,f_311,4
f_189,f_305,9
f_189,f_265,7
f_189,f_271,5
f_189,f_259,7
f_189,f_258,6
f_189,f_270,7
f_189,f_264,6
f_189,f_304,5
f_189,f_310,7
f_189,f_106,9
f_189,f_112,9
f_189,f_13,10
f_189,f_39,14
f_189,f_11,13
f_189,f_104,2
f_189,f_110,6
f_189,f_138,11
f_189,f_306,8
f_189,f_312,5
f_189,f_299,11
f_189,f_272,4
f_189,f_266,7
f_189,f_267,4
f_189,f_273,3
f_189,f_298,8
f_189,f_313,9
f_189,f_307,7
f_189,f_139,7
f_189,f_111,6
f_189,f_105,6
f_189,f_10,14
