F_id,Hamming Distance
f_63,26
f_189,34
f_77,32
f_162,26
f_176,16
f_88,28
f_228,26
f_214,38
f_200,20
f_201,20
f_215,32
f_229,34
f_177,36
f_89,30
f_163,30
f_188,16
f_76,26
f_62,22
f_74,26
f_60,14
f_48,18
f_149,24
f_175,34
f_161,20
f_203,14
f_217,14
f_216,26
f_202,14
f_160,14
f_174,32
f_148,20
f_49,12
f_61,38
f_75,32
f_59,24
f_71,14
f_65,38
f_170,24
f_164,32
f_158,16
f_206,16
f_212,18
f_213,24
f_207,18
f_159,28
f_165,28
f_171,24
f_64,28
f_70,22
f_58,18
f_8,26
f_198,28
f_66,36
f_72,12
f_167,28
f_99,12
f_173,34
f_211,28
f_205,22
f_239,36
f_238,34
f_204,16
f_210,28
f_172,20
f_166,24
f_98,30
f_73,30
f_199,30
f_67,36
f_9,12
f_14,26
f_28,16
f_129,30
f_101,22
f_115,18
f_303,24
f_317,28
f_288,34
f_277,20
f_263,26
f_262,24
f_276,36
f_289,28
f_316,30
f_302,18
f_114,34
f_100,32
f_128,24
f_29,16
f_15,26
f_17,22
f_116,38
f_102,16
f_314,32
f_300,20
f_248,30
f_260,38
f_274,18
f_275,22
f_261,40
f_249,26
f_301,36
f_315,34
f_103,26
f_117,26
f_16,16
f_12,12
f_113,20
f_107,12
f_311,32
f_305,36
f_265,22
f_271,28
f_259,40
f_258,32
f_270,24
f_264,22
f_304,24
f_310,34
f_106,22
f_112,28
f_13,16
f_39,24
f_11,26
f_104,14
f_110,34
f_138,38
f_306,38
f_312,26
f_299,40
f_272,26
f_266,30
f_267,24
f_273,28
f_298,36
f_313,20
f_307,28
f_139,16
f_111,26
f_105,24
f_10,14
f_38,30
f_21,20
f_35,30
f_108,30
f_120,16
f_134,14
f_295,20
f_281,26
f_256,12
f_242,38
f_243,28
f_257,32
f_280,30
f_294,12
f_135,24
f_121,24
f_109,26
f_34,14
f_20,32
f_36,14
f_22,20
f_137,30
f_123,36
f_309,30
f_282,34
f_296,32
f_269,16
f_241,28
f_255,34
f_254,32
f_240,32
f_268,40
f_297,28
f_283,32
f_320,24
f_308,30
f_122,36
f_136,12
f_23,24
f_37,30
f_33,22
f_27,28
f_132,24
f_126,30
f_318,26
f_287,30
f_293,32
f_244,30
f_250,30
f_278,32
f_279,30
f_251,32
f_245,26
f_292,16
f_286,30
f_319,24
f_127,18
f_133,22
f_26,18
f_32,12
f_18,38
f_24,24
f_30,10
f_125,30
f_131,28
f_119,20
f_290,32
f_284,24
f_253,26
f_247,34
f_246,32
f_252,22
f_285,20
f_291,38
f_118,28
f_130,24
f_124,36
f_31,18
f_25,34
f_19,24
f_42,4
f_4,22
f_56,28
f_180,32
f_194,30
f_81,36
f_95,22
f_143,10
f_157,10
f_209,30
f_235,32
f_221,26
f_220,24
f_234,28
f_208,26
f_156,38
f_142,30
f_94,38
f_80,24
f_195,28
f_181,38
f_5,30
f_57,32
f_43,26
f_55,34
f_7,16
f_41,36
f_69,18
f_197,28
f_183,26
f_96,32
f_168,20
f_82,16
f_154,30
f_140,16
f_222,22
f_236,28
f_237,34
f_223,18
f_141,20
f_155,28
f_83,30
f_97,14
f_169,32
f_182,28
f_68,20
f_196,14
f_40,14
f_54,20
f_6,38
f_192,20
f_78,32
f_186,32
f_2,22
f_50,28
f_44,32
f_151,8
f_145,20
f_93,24
f_87,38
f_179,36
f_227,38
f_233,20
f_232,32
f_226,32
f_86,28
f_178,36
f_92,6
f_144,36
f_150,26
f_45,36
f_3,16
f_51,24
f_79,18
f_187,18
f_193,32
f_185,24
f_191,20
f_47,34
f_53,26
f_1,34
f_146,18
f_152,18
f_84,32
f_90,12
f_230,32
f_224,24
f_218,16
f_219,12
f_225,28
f_231,34
f_91,34
f_85,30
f_153,30
f_147,30
f_52,16
f_46,34
f_190,24
f_184,26
