F_id,Hamming Distance
f_63,19
f_189,14
f_77,19
f_162,11
f_176,8
f_88,24
f_228,14
f_214,12
f_200,7
f_201,14
f_215,16
f_229,6
f_177,8
f_89,28
f_163,12
f_188,7
f_76,16
f_62,6
f_74,18
f_60,10
f_48,8
f_149,7
f_175,13
f_161,6
f_203,6
f_217,5
f_216,19
f_202,7
f_160,9
f_174,14
f_148,9
f_49,8
f_61,10
f_75,22
f_59,16
f_71,8
f_65,28
f_170,9
f_164,9
f_158,7
f_206,6
f_212,10
f_213,20
f_207,9
f_159,10
f_165,7
f_171,9
f_64,11
f_70,8
f_58,7
f_8,21
f_198,12
f_66,21
f_72,16
f_167,9
f_99,14
f_173,14
f_211,11
f_205,6
f_239,11
f_238,13
f_204,6
f_210,11
f_172,5
f_166,11
f_98,19
f_73,15
f_199,5
f_67,22
f_9,3
f_14,8
f_28,10
f_129,12
f_101,12
f_115,14
f_303,13
f_317,9
f_288,12
f_277,16
f_263,11
f_262,9
f_276,12
f_289,10
f_316,16
f_302,11
f_114,16
f_100,17
f_128,12
f_29,3
f_15,18
f_17,20
f_116,9
f_102,3
f_314,10
f_300,9
f_248,15
f_260,14
f_274,9
f_275,10
f_261,11
f_249,11
f_301,14
f_315,11
f_103,14
f_117,14
f_16,11
f_12,9
f_113,9
f_107,6
f_311,10
f_305,15
f_265,15
f_271,9
f_259,10
f_258,10
f_270,10
f_264,10
f_304,13
f_310,16
f_106,8
f_112,16
f_13,14
f_39,10
f_11,10
f_104,9
f_110,14
f_138,5
f_306,8
f_312,4
f_299,21
f_272,10
f_266,12
f_267,18
f_273,14
f_298,10
f_313,10
f_307,14
f_139,6
f_111,15
f_105,4
f_10,13
f_38,18
f_21,11
f_35,6
f_108,15
f_120,7
f_134,2
f_295,12
f_281,16
f_256,4
f_242,11
f_243,14
f_257,20
f_280,10
f_294,3
f_135,11
f_121,11
f_109,6
f_34,13
f_20,13
f_36,14
f_22,5
f_137,8
f_123,15
f_309,10
f_282,11
f_296,14
f_269,5
f_241,8
f_255,11
f_254,9
f_240,10
f_268,15
f_297,10
f_283,13
f_320,8
f_308,10
f_122,9
f_136,7
f_23,14
f_37,10
f_33,12
f_27,19
f_132,11
f_126,13
f_318,10
f_287,10
f_293,10
f_244,15
f_250,8
f_278,9
f_279,23
f_251,15
f_245,6
f_292,3
f_286,11
f_319,5
f_127,6
f_133,12
f_26,13
f_32,5
f_18,23
f_24,8
f_30,6
f_125,11
f_131,13
f_119,8
f_290,7
f_284,14
f_253,11
f_247,13
f_246,9
f_252,15
f_285,16
f_291,12
f_118,14
f_130,6
f_124,13
f_31,9
f_25,17
f_19,14
f_42,4
f_4,17
f_56,13
f_180,7
f_194,10
f_81,14
f_95,25
f_143,8
f_157,7
f_209,8
f_235,9
f_221,13
f_220,11
f_234,13
f_208,9
f_156,8
f_142,7
f_94,22
f_80,10
f_195,8
f_181,10
f_5,17
f_57,21
f_43,13
f_55,19
f_7,13
f_41,11
f_69,13
f_197,11
f_183,8
f_96,21
f_168,12
f_82,6
f_154,10
f_140,8
f_222,5
f_236,11
f_237,15
f_223,10
f_141,10
f_155,14
f_83,23
f_97,11
f_169,11
f_182,8
f_68,15
f_196,10
f_40,9
f_54,14
f_6,22
f_192,8
f_78,14
f_186,14
f_2,5
f_50,9
f_44,20
f_151,6
f_145,8
f_93,24
f_87,26
f_179,11
f_227,9
f_233,3
f_232,13
f_226,12
f_86,18
f_178,10
f_92,11
f_144,10
f_150,11
f_45,20
f_3,18
f_51,16
f_79,8
f_187,8
f_193,15
f_185,10
f_191,5
f_47,21
f_53,24
f_1,11
f_146,10
f_152,5
f_84,23
f_90,15
f_230,9
f_224,12
f_218,7
f_219,11
f_225,14
f_231,12
f_91,17
f_85,24
f_153,10
f_147,16
f_52,10
f_46,11
f_190,7
f_184,10
