F_id,Hamming Distance
f_63,10
f_189,12
f_77,15
f_162,7
f_176,2
f_88,9
f_228,12
f_214,10
f_200,4
f_201,10
f_215,11
f_229,9
f_177,10
f_89,14
f_163,7
f_188,8
f_76,13
f_62,4
f_74,15
f_60,5
f_48,10
f_149,3
f_175,9
f_161,4
f_203,5
f_217,6
f_216,11
f_202,3
f_160,3
f_174,10
f_148,3
f_49,1
f_61,7
f_75,16
f_59,12
f_71,3
f_65,15
f_170,5
f_164,7
f_158,4
f_206,3
f_212,7
f_213,12
f_207,5
f_159,6
f_165,7
f_171,6
f_64,8
f_70,6
f_58,5
f_8,14
f_198,7
f_66,8
f_72,3
f_167,12
f_99,9
f_173,11
f_211,8
f_205,7
f_239,6
f_238,9
f_204,5
f_210,5
f_172,3
f_166,5
f_98,9
f_73,7
f_199,8
f_67,14
f_9,2
f_14,4
f_28,3
f_129,13
f_101,7
f_115,6
f_303,12
f_317,6
f_288,7
f_277,9
f_263,15
f_262,9
f_276,15
f_289,5
f_316,12
f_302,7
f_114,10
f_100,12
f_128,11
f_29,3
f_15,14
f_17,12
f_116,8
f_102,1
f_314,6
f_300,7
f_248,10
f_260,9
f_274,7
f_275,9
f_261,10
f_249,8
f_301,10
f_315,10
f_103,14
f_117,13
f_16,9
f_12,1
f_113,5
f_107,3
f_311,10
f_305,8
f_265,8
f_271,5
f_259,8
f_258,10
f_270,8
f_264,10
f_304,11
f_310,12
f_106,7
f_112,10
f_13,9
f_39,8
f_11,8
f_104,8
f_110,13
f_138,6
f_306,9
f_312,3
f_299,16
f_272,6
f_266,13
f_267,11
f_273,6
f_298,11
f_313,6
f_307,8
f_139,2
f_111,15
f_105,7
f_10,2
f_38,12
f_21,5
f_35,5
f_108,10
f_120,7
f_134,6
f_295,10
f_281,14
f_256,5
f_242,11
f_243,8
f_257,10
f_280,10
f_294,2
f_135,9
f_121,10
f_109,5
f_34,9
f_20,7
f_36,9
f_22,3
f_137,10
f_123,8
f_309,11
f_282,8
f_296,8
f_269,3
f_241,4
f_255,6
f_254,4
f_240,6
f_268,10
f_297,9
f_283,7
f_320,8
f_308,9
f_122,11
f_136,4
f_23,9
f_37,4
f_33,6
f_27,10
f_132,11
f_126,9
f_318,5
f_287,7
f_293,6
f_244,11
f_250,8
f_278,9
f_279,15
f_251,13
f_245,7
f_292,3
f_286,11
f_319,5
f_127,5
f_133,5
f_26,6
f_32,2
f_18,16
f_24,6
f_30,2
f_125,8
f_131,7
f_119,5
f_290,9
f_284,10
f_253,5
f_247,8
f_246,11
f_252,10
f_285,8
f_291,6
f_118,10
f_130,5
f_124,9
f_31,4
f_25,9
f_19,12
f_42,0
f_4,9
f_56,8
f_180,3
f_194,12
f_81,10
f_95,12
f_143,3
f_157,2
f_209,9
f_235,7
f_221,4
f_220,3
f_234,11
f_208,7
f_156,8
f_142,6
f_94,17
f_80,3
f_195,9
f_181,7
f_5,3
f_57,17
f_43,11
f_55,14
f_7,6
f_41,7
f_69,4
f_197,9
f_183,7
f_96,12
f_168,8
f_82,3
f_154,9
f_140,7
f_222,4
f_236,5
f_237,17
f_223,4
f_141,5
f_155,10
f_83,15
f_97,7
f_169,7
f_182,5
f_68,8
f_196,7
f_40,3
f_54,9
f_6,13
f_192,3
f_78,15
f_186,8
f_2,8
f_50,5
f_44,9
f_151,3
f_145,3
f_93,12
f_87,15
f_179,8
f_227,11
f_233,5
f_232,7
f_226,16
f_86,8
f_178,12
f_92,3
f_144,7
f_150,4
f_45,11
f_3,8
f_51,11
f_79,3
f_187,7
f_193,11
f_185,7
f_191,5
f_47,16
f_53,16
f_1,6
f_146,5
f_152,2
f_84,13
f_90,3
f_230,7
f_224,11
f_218,6
f_219,4
f_225,8
f_231,8
f_91,5
f_85,14
f_153,8
f_147,9
f_52,9
f_46,13
f_190,6
f_184,4
