F_id1,F_id2,Hamming Distance
f_63,f_189,12
f_63,f_77,26
f_63,f_162,18
f_63,f_176,28
f_63,f_88,18
f_63,f_228,30
f_63,f_214,22
f_63,f_200,22
f_63,f_201,26
f_63,f_215,20
f_63,f_229,28
f_63,f_177,32
f_63,f_89,16
f_63,f_163,16
f_63,f_188,12
f_63,f_76,20
f_63,f_62,16
f_63,f_74,24
f_63,f_60,22
f_63,f_48,12
f_63,f_149,22
f_63,f_175,32
f_63,f_161,32
f_63,f_203,20
f_63,f_217,22
f_63,f_216,32
f_63,f_202,28
f_63,f_160,24
f_63,f_174,32
f_63,f_148,32
f_63,f_49,18
f_63,f_61,22
f_63,f_75,24
f_63,f_59,12
f_63,f_71,28
f_63,f_65,18
f_63,f_170,34
f_63,f_164,18
f_63,f_158,20
f_63,f_206,28
f_63,f_212,14
f_63,f_213,28
f_63,f_207,28
f_63,f_159,30
f_63,f_165,24
f_63,f_171,18
f_63,f_64,20
f_63,f_70,22
f_63,f_58,22
f_63,f_8,24
f_63,f_198,24
f_63,f_66,14
f_63,f_72,24
f_63,f_167,24
f_63,f_99,28
f_63,f_173,22
f_63,f_211,22
f_63,f_205,28
f_63,f_239,28
f_63,f_238,34
f_63,f_204,20
f_63,f_210,14
f_63,f_172,36
f_63,f_166,22
f_63,f_98,24
f_63,f_73,24
f_63,f_199,28
f_63,f_67,12
f_63,f_9,32
f_63,f_14,28
f_63,f_28,24
f_63,f_129,22
f_63,f_101,16
f_63,f_115,30
f_63,f_303,16
f_63,f_317,32
f_63,f_288,14
f_63,f_277,24
f_63,f_263,18
f_63,f_262,24
f_63,f_276,34
f_63,f_289,14
f_63,f_316,30
f_63,f_302,24
f_63,f_114,22
f_63,f_100,24
f_63,f_128,28
f_63,f_29,24
f_63,f_15,26
f_63,f_17,28
f_63,f_116,22
f_63,f_102,20
f_63,f_314,30
f_63,f_300,36
f_63,f_248,34
f_63,f_260,28
f_63,f_274,30
f_63,f_275,26
f_63,f_261,16
f_63,f_249,26
f_63,f_301,20
f_63,f_315,38
f_63,f_103,14
f_63,f_117,20
f_63,f_16,24
f_63,f_12,32
f_63,f_113,26
f_63,f_107,34
