F_id,Hamming Distance
f_63,24
f_189,30
f_77,38
f_162,32
f_176,20
f_88,24
f_228,32
f_214,34
f_200,22
f_201,26
f_215,28
f_229,38
f_177,36
f_89,34
f_163,30
f_188,26
f_76,30
f_62,22
f_74,28
f_60,20
f_48,20
f_149,18
f_175,38
f_161,20
f_203,22
f_217,14
f_216,30
f_202,12
f_160,12
f_174,32
f_148,16
f_49,6
f_61,32
f_75,32
f_59,32
f_71,12
f_65,40
f_170,34
f_164,30
f_158,20
f_206,12
f_212,22
f_213,28
f_207,28
f_159,32
f_165,26
f_171,34
f_64,28
f_70,26
f_58,16
f_8,36
f_198,26
f_66,30
f_72,16
f_167,34
f_99,18
f_173,32
f_211,38
f_205,28
f_239,32
f_238,34
f_204,22
f_210,32
f_172,22
f_166,24
f_98,34
f_73,24
f_199,24
f_67,34
f_9,10
f_14,22
f_28,18
f_129,38
f_101,24
f_115,22
f_303,38
f_317,30
f_288,30
f_277,24
f_263,24
f_262,26
f_276,34
f_289,28
f_316,32
f_302,24
f_114,32
f_100,30
f_128,28
f_29,18
f_15,24
f_17,30
f_116,36
f_102,16
f_314,30
f_300,26
f_248,30
f_260,34
f_274,18
f_275,28
f_261,34
f_249,34
f_301,30
f_315,34
f_103,34
f_117,28
f_16,14
f_12,10
f_113,24
f_107,16
f_311,32
f_305,40
f_265,24
f_271,30
f_259,44
f_258,30
f_270,22
f_264,26
f_304,32
f_310,38
f_106,24
f_112,40
f_13,16
f_39,26
f_11,28
f_104,14
f_110,34
f_138,36
f_306,36
f_312,28
f_299,40
f_272,28
f_266,34
f_267,34
f_273,32
f_298,42
f_313,24
f_307,32
f_139,16
f_111,30
f_105,26
f_10,26
f_38,36
f_21,24
f_35,28
f_108,30
f_120,28
f_134,28
f_295,36
f_281,34
f_256,20
f_242,36
f_243,26
f_257,30
f_280,32
f_294,16
f_135,38
f_121,36
f_109,26
f_34,16
f_20,36
f_36,10
f_22,10
f_137,30
f_123,32
f_309,46
f_282,34
f_296,34
f_269,14
f_241,30
f_255,34
f_254,34
f_240,32
f_268,36
f_297,32
f_283,26
f_320,30
f_308,34
f_122,26
f_136,8
f_23,26
f_37,34
f_33,14
f_27,26
f_132,28
f_126,36
f_318,32
f_287,34
f_293,28
f_244,28
f_250,24
f_278,34
f_279,28
f_251,32
f_245,30
f_292,18
f_286,28
f_319,26
f_127,18
f_133,32
f_26,30
f_32,14
f_18,38
f_24,28
f_30,12
f_125,32
f_131,24
f_119,30
f_290,30
f_284,28
f_253,22
f_247,36
f_246,28
f_252,24
f_285,18
f_291,34
f_118,30
f_130,28
f_124,34
f_31,12
f_25,32
f_19,28
f_42,8
f_4,34
f_56,30
f_180,28
f_194,34
f_81,38
f_95,26
f_143,18
f_157,10
f_209,32
f_235,32
f_221,32
f_220,22
f_234,38
f_208,28
f_156,38
f_142,28
f_94,36
f_80,22
f_195,28
f_181,32
f_5,38
f_57,36
f_43,32
f_55,36
f_7,24
f_41,34
f_69,16
f_197,36
f_183,26
f_96,30
f_168,32
f_82,22
f_154,26
f_140,16
f_222,18
f_236,32
f_237,36
f_223,12
f_141,28
f_155,26
f_83,28
f_97,10
f_169,24
f_182,24
f_68,26
f_196,20
f_40,14
f_54,16
f_6,34
f_192,22
f_78,32
f_186,26
f_2,16
f_50,24
f_44,26
f_151,20
f_145,20
f_93,24
f_87,34
f_179,30
f_227,32
f_233,26
f_232,36
f_226,32
f_86,32
f_178,38
f_92,8
f_144,36
f_150,22
f_45,38
f_3,20
f_51,30
f_79,20
f_187,18
f_193,36
f_185,24
f_191,14
f_47,38
f_53,36
f_1,36
f_146,24
f_152,14
f_84,26
f_90,8
f_230,34
f_224,28
f_218,36
f_219,28
f_225,32
f_231,40
f_91,32
f_85,32
f_153,36
f_147,32
f_52,32
f_46,40
f_190,26
f_184,26
