F_id,Hash
f_63,cd2632c793cccc99
f_189,cc313363ce9c99cc
f_77,cf3434b3313999cc
f_162,cf3430c373cccccc
f_176,9866679ac6999933
f_88,9b6564b293cf8c98
f_228,c93264c3dcdc33cc
f_214,cc3230cf66cc33e6
f_200,99643366e6639939
f_201,cf3232c10ec738f3
f_215,cd333093d3cc63cc
f_229,9966679a99996632
f_177,9967679a66999921
f_89,9b652cb293cf8c8c
f_163,cc3232cbcfcc7498
f_188,cc6433f3c698c9cc
f_76,cf34349333cdcc8c
f_62,996631339699cd99
f_74,cf643cb333309399
f_60,cc3133d3c6cc99cc
f_48,cc643333c799cccc
f_149,cc3333c79bcc30cc
f_175,992167ce96399966
f_161,99996726c66399cc
f_203,cc3330cfc9cc3339
f_217,cf3430d330cf659c
f_216,9867659e96991999
f_202,cc3233cf2ccc3399
f_160,cc993266f33389cc
f_174,9a3961c7666ec632
f_148,9c63639ecb8c3199
f_49,986633c6c699d999
f_61,cc33329b93cccc9c
f_75,cf2c34d3329993cc
f_59,cc323333c7cc99cc
f_71,cfcc34933330db31
f_65,cc3232c9d3cccc7c
f_170,9963669a9bc961cc
f_164,cc3332cf93cccc8c
f_158,cd3364c7938ccd31
f_206,cd3033cf0c9c3373
f_212,cc3330cdc3ccce3c
f_213,9b7164926c9b99c9
f_207,cc3232cbcccc31cf
f_159,993366ce9a999964
f_165,9966669b93994ccc
f_171,cc3233cbcecc3293
f_64,cc32329bb3cc6ccc
f_70,996631339673cc99
f_58,cc303133c7e799cc
f_8,996667269acd8c99
f_198,cd3366cf9818c936
f_66,cc363399c3cc6c99
f_72,cf643c333231e399
f_167,cc3431c37699d9cc
f_99,9e6d61a6631a6699
f_173,cf3830c6f3398c63
f_211,cc3330cf33ccce8c
f_205,9966669e39c96626
f_239,9c663399cc993633
f_238,cd3033cb6cb233cc
f_204,cf3030cfcfcc3036
f_210,cc3332cbe3cc361c
f_172,9967669a9a8933cc
f_166,cd3233c68e99cc33
f_98,9a6d39a6331e6698
f_73,cf2434b3331bc9cc
f_199,9966676626369999
f_67,cc663033d3cdcc9c
f_9,99cc66319366cc9b
f_14,9a9961db666493b2
f_28,cc333033f39399cc
f_129,cc64339bc6c9cc6c
f_101,cc643373c69c99cc
f_115,cb3434c332cf338d
f_303,cd3631c127cecc3c
f_317,996666986936669b
f_288,cc3233cfcbcccc24
f_277,cf3432c31ccb6c33
f_263,cd30343393cfcd8c
f_262,cf3432c38ccf3493
f_276,cc3231cf1cc633cb
f_289,cd3230cbc7cc3c3c
f_316,9a656d926b9a6598
f_302,c73839c0cfc71e38
f_114,cb3c34c332cf989c
f_100,9e6d79a66322c698
f_128,9839616766ce999c
f_29,cd9b3067633266cc
f_15,9a3961c7666c939c
f_17,9a7161de666c9299
f_116,cc3332cb33cccd8c
f_102,cc6433b3c72c99cc
f_314,986732ce39c6339a
f_300,9966669998cd33c6
f_248,cf3433db4c303399
f_260,9966679a86993365
f_274,9966669931cd6666
f_275,cc333067673333c6
f_261,cc3232cf36cce364
f_249,cd3232cbcdcc3493
f_301,cc3232cbdbcc3436
f_315,cd3093cf6c9331c3
f_103,cc3433d3c7cc98cc
f_117,cd3230d3d3cc34d9
f_16,cf1834c733269b93
f_12,9a9b61cd66649636
f_113,9e616193678e39c9
f_107,997166929acdd964
f_311,cd3366938bcc316c
f_305,9865679a9a499967
f_265,9e61618699ce799c
f_271,cc3330cf33ccce8c
f_259,9966669b98996366
f_258,cc3336cd3c6133cc
f_270,9a61679699cf3131
f_264,cf3031cd3ecd3131
f_304,9867319ecbcc3433
f_310,cb3034d3ce9965b2
f_106,986566929ac999dd
f_112,cf64309363cc3cd9
f_13,9a396196666c9b99
f_39,cecc31cde63118e6
f_11,cf9930c626669b93
f_104,cc303333c79dcc6c
f_110,cd3230c3e399cdcc
f_138,9863679666cc9999
f_306,9c63659e99596433
f_312,cc303231e3c93ecf
f_299,cf64309333193dc7
f_272,cc3133cfc9cc1c66
f_266,cc333399cc2c33cd
f_267,cc3233cf2ccc7236
f_273,cd3630d331cd8ec6
f_298,ce3230c9c1cecece
f_313,9833666532c666cf
f_307,cf3034c3cdcc34d3
f_139,996764b39299ccc9
f_111,98666596e6cc3399
f_105,cc66339bc78c4c99
f_10,99cc6793a6669998
f_38,cecc3099673192e7
f_21,cc993266736699cc
f_35,cfce34cc333098b3
f_108,9965669296d99999
f_120,cccc3331cb67cc8c
f_134,98636766e6329999
f_295,d926269b4c99669b
f_281,cc3333ce386333cc
f_256,cc3333cdc1ccce31
