F_id,Hash
f_63,001030b1b9391919
f_189,1030b0b0b0183030
f_77,0030717060783938
f_162,3070706061701000
f_176,0030307179b01818
f_88,200060e2d0c0c0e2
f_228,0030b07130300010
f_214,0060e0e0e0e06060
f_200,1030b030b0301032
f_201,006060e0c0c06000
f_215,00c0e0e0c4e44000
f_229,000030b0b0300010
f_177,10303030b0300010
f_89,0018b9b03cb43c5c
f_163,0030727072b03000
f_188,0030707070303030
f_76,40c0e0e0c0c0e060
f_62,0030707070303030
f_74,40c0e0d0f2c0e060
f_60,0060707262606072
f_48,0060606060606060
f_149,100030b2b0b0b230
f_175,3030707032300010
f_161,10307070b2301000
f_203,0020606060602030
f_217,0030726070707000
f_216,0018583878591808
f_202,1000606070727020
f_160,1032707272202000
f_174,3838706871380010
f_148,0030b2b0b0303230
f_49,001030b0b1b93838
f_61,10307070b2103030
f_75,3830b030b0190818
f_59,001030b0b0303838
f_71,6060706060721020
f_65,1838393039092c1c
f_170,0030b03030303030
f_164,00303070b0300010
f_158,0030327030b23030
f_206,2000606060606020
f_212,0040e0e4e0e46000
f_213,083838b0b0b03000
f_207,0020727060727020
f_159,0030307030b230b2
f_165,0030b030b0301000
f_171,0030327032323030
f_64,0060607060606060
f_70,0070727072303030
f_58,006060e0606060e0
f_8,0060607272606060
f_198,0030327272606020
f_66,2060e0e060686060
f_72,206072f0f0f07260
f_167,3030707170b03030
f_99,001830346c703838
f_173,7060606070100000
f_211,0030306060321000
f_205,100030b0b0b03000
f_239,0010b2b0b0301030
f_238,00103030b1b93030
f_204,0020606062602020
f_210,0070726272606030
f_172,001030b0b0323030
f_166,00303230b2b23030
f_98,10006070c9c9e060
f_73,0038b07068783939
f_199,10b0b030b2303030
f_67,001839b139192818
f_9,0030727070b23000
f_14,0030726078626000
f_28,0060707272303032
f_129,3072727230002000
f_101,3070703030303030
f_115,1000307069696900
f_303,2060e0e0c0e0e000
f_317,000030b0b1b03230
f_288,00707272b2303030
f_277,00606460f0e2e2e0
f_263,30707070b230b030
f_262,0030707070717020
f_276,0060e0e0e0e00040
f_289,00307062623030b2
f_316,00183938b4b81800
f_302,0060e4e4e4e46000
f_114,3070696960300020
f_100,102060f0c8c8e060
f_128,30b070b0b0001000
f_29,0070727070323030
f_15,001838b4b0381908
f_17,0c1c5830b0180800
f_116,3070727272100000
f_102,0010b03070303038
f_314,000030b070b03010
f_300,0010b2b0b0b23000
f_248,0020727260607010
f_260,0030303030300028
f_274,000032b0b0301010
f_275,3070607070b0b2b2
f_261,0060707262300020
f_249,0060606072606064
f_301,3070727272300020
f_315,0000706060607010
f_103,1030707030103030
f_117,0070707072300020
f_16,0060e0f2f2e06000
f_12,0030797969301000
f_113,1000307069696860
f_107,0010327068707060
f_311,307070b2b0303030
f_305,0030b0b030001818
f_265,0070626071617030
f_271,0070627262603000
f_259,0010b0b0b0300000
f_258,0000327272723000
f_270,0030707171693010
f_264,0010307060703000
f_304,00307070b0101818
f_310,1070716969301030
f_106,0030b03038b03030
f_112,3070606169703030
f_13,001838b0b0b83000
f_39,206072f078703000
f_11,3070796171300010
f_104,0000307260703070
f_110,107070b0b0001000
f_138,0030b03030303030
f_306,00303030b0101010
f_312,6060606060606060
f_299,70717179b1180010
f_272,0030727262703000
f_266,00303030b0703030
f_267,006064e0e0e46000
f_273,6060f2f2c2e26060
f_298,6060e0e064600020
f_313,307030b232b2b230
f_307,0070706969703030
f_139,0010b0706970b030
f_111,10303030b0100000
f_105,00303030b0323030
f_10,001839b1b1791818
f_38,006060f2f2e26000
f_21,3070707072300010
f_35,3030706061301020
f_108,3030303030303030
f_120,0030b2b232001000
f_134,0030b030b0301030
f_295,0010307070303000
f_281,2000707060723000
f_256,0000606060602060
f_242,1070727260203030
f_243,000038b9b9b91000
f_257,60e0d2e2e2600040
f_280,0030707270b21030
f_294,0000206060606464
f_135,0070727272200020
f_121,00303230b2100000
f_109,1030b030b0303030
f_34,2060f0f2f2e06000
f_20,0018383030b93000
f_36,6060e0d2f2e06000
f_22,0030b030b0301838
f_137,0030303032002020
f_123,0030b03232100000
f_309,0070727260606060
f_282,3070727072303030
f_296,0030707072b21000
f_269,001030b030b0b000
f_241,0020606262602020
f_255,0060607272700020
f_254,0060606262600020
f_240,001030b0b0303032
f_268,40c0c4c4e4600020
f_297,0020606262723000
f_283,1000307272b23000
f_320,0060606060607070
f_308,00307072723030b0
f_122,0010b23232300000
f_136,0010727260626060
f_23,0019583039181800
f_37,0010307169613010
f_33,0038b07060b11800
f_27,001839b1b9183810
f_132,6060707270000000
f_126,1030b0b0b0000000
f_318,006072627230b030
f_287,3072727260200000
f_293,0010707272b03030
f_244,0060e0e0e0640060
f_250,1070706060706060
f_278,00103030b0b03818
f_279,6060e0e2f2e0c0c0
f_251,307272723010b030
f_245,6060606064606060
f_292,2000606060646060
f_286,6060e06060002000
f_319,0000706062607070
f_127,0010b0b139393039
f_133,0030727068686800
f_26,3060727272602020
f_32,0030706069697010
f_18,0060e0d2f2c06064
f_24,0060607272703020
f_30,0030727072602000
f_125,10b07030b2300010
f_131,7070707030100000
f_119,003032b0b2301000
