F_id,Hash
f_63,001032707032b230
f_189,0000307060707070
f_77,0060f0f0d0d0e060
f_162,1000707069607030
f_176,0000303039b03008
f_88,0010726969696970
f_228,1000307070697030
f_214,2000206062626030
f_200,0030b27070303030
f_201,00002060f2d2c260
f_215,0020706270606030
f_229,000010b0b0b0b030
f_177,0000303038303000
f_89,0030706969696070
f_163,2000307272727030
f_188,0010b07060703078
f_76,002070e0e9707030
f_62,0030b2707032b230
f_74,206070e0e8707030
f_60,0000306060707060
f_48,0030306060707078
f_149,0000b0327070b230
f_175,0010323068303000
f_161,0030b03030301000
f_203,2000206062626030
f_217,0030706070606030
f_216,000038b1b9b9b030
f_202,0000007072727230
f_160,0030727070723000
f_174,0030706969717000
f_148,100030b030b0b030
f_49,0010303030303030
f_61,0020706272703000
f_75,00707060e9687000
f_59,0030726060727060
f_71,206070e0e0706000
f_65,0020606262723000
f_170,100030b0b8b0b030
f_164,0030327270723030
f_158,0000307070703030
f_206,0000006060626260
f_212,2000606062607000
f_213,0010307060796970
f_207,1000306062726070
f_159,100030b03030b030
f_165,0010b23030b03030
f_171,100030327232b230
f_64,0020706262727230
f_70,0030307078b03838
f_58,0030726060706060
f_8,0010b2b0b0b030b0
f_198,100030b232723030
f_66,000030727232b200
f_72,1070706169687070
f_167,0030307060607030
f_99,0030716868683118
f_173,0030706869703000
f_211,2000306262627030
f_205,00001030b0303030
f_239,100030b2b2b2b230
f_238,0010003072706070
f_204,2000206062626060
f_210,2000606262627060
f_172,100010b0b030b030
f_166,1000303070723232
f_98,0030706968697938
f_73,00607060e9687070
f_199,0030b03030303010
f_67,0030727260703030
f_9,0030327030b21000
f_14,0030706169703000
f_28,0030727070727070
f_129,0010327060303000
f_101,0010b07060703078
f_115,0030706969687070
f_303,000060e0d2f2f2d0
f_317,00100030b0b1b130
f_288,1000307262607030
f_277,1000307070616960
f_263,0030706070707070
f_262,0000307070606960
f_276,0020006060627060
f_289,2000306262627030
f_316,0000001818383838
f_302,200060e4e4e4c4e0
f_114,0030706069686000
f_100,0030706968687018
f_128,0030b03130b03000
f_29,0030707070723030
f_15,0030707161793000
f_17,0030317171793000
f_116,0030707272726000
f_102,0010b07070703078
f_314,00100030b030b0b0
f_300,000010b2b0b2b230
f_248,0020003070696960
f_260,100030b0b1b8b010
f_274,00000032b0b0b030
f_275,10b07060707030b0
f_261,2000307262627030
f_249,0000207072727272
f_301,2000206262726060
f_315,0020002060726072
f_103,0000306260707068
f_117,0000726060607230
f_16,0030706070706000
f_12,1030796071713000
f_113,0030306969696170
f_107,0000303078703020
f_311,100030b23232b070
f_305,100030b1b9b93838
f_265,10003071707060b8
f_271,0030706262626030
f_259,100010b03030b030
f_258,0010003072727230
f_270,1000307071696930
f_264,0020006060606060
f_304,100030707070b030
f_310,1000307069697870
f_106,001030b039393020
f_112,0000306069697168
f_13,0030706171793000
f_39,3070706061701020
f_11,0030706171707000
f_104,0030706262726060
f_110,0030706060703030
f_138,0030b03039b03000
f_306,100030303030b030
f_312,00606070e0606060
f_299,0070726069616030
f_272,2000307262606060
f_266,000800b072307230
f_267,1000307262627230
f_273,002060f2f2f2f2f0
f_298,0020646060606060
f_313,10303030b03232b2
f_307,1000307069696070
f_139,003032707830b030
f_111,201030606830b030
f_105,0010307070323030
f_10,0030b0b0b1b01000
f_38,3070606169701000
f_21,0030727070723020
f_35,2070707060701000
f_108,0010b0b9b9b93838
f_120,00303232b2300010
f_134,0030b03030303030
f_295,0000003070787872
f_281,0010003072606072
f_256,2000606060606000
f_242,2000307060607070
f_243,0008001939b83919
f_257,006060c2e0d2e230
f_280,0000307272607030
f_294,0020006060606064
f_135,0000307272627060
f_121,1000b032b0b21000
f_109,0030b038b8b03000
f_34,2070606060703000
f_20,0030707079707000
f_36,2070706060603000
f_22,0030b23030b03830
f_137,0030b03838303030
f_123,100010b0b8b03010
f_309,2000307272726060
f_282,0010307272627030
f_296,2000607262627230
f_269,100030b0b0b0b030
f_241,2000206062623010
f_255,2000607262627230
f_254,2000606262727030
f_240,00001838b9b83030
f_268,4000c0c888c8c000
f_297,0000206072727272
f_283,002000307232b2b2
f_320,00006062e0e0e060
f_308,1000307070707070
f_122,100030b030303000
f_136,0030327270707020
f_23,0032307070301000
f_37,2070607060603000
f_33,1030706161703000
f_27,0030727070723030
f_132,3070726060603000
f_126,0010b0b931303038
f_318,2000606272727070
f_287,0030327272303000
f_293,0000007072727230
f_244,00500060f2f27060
f_250,1000307068796060
f_278,1000303070703030
f_279,0030307071717030
f_251,0010327270727272
f_245,0020646060646060
f_292,0000206060606060
f_286,0020607272602020
f_319,0000006060606070
f_127,0030b0b1b1303038
f_133,3070706169703000
f_26,0030707070321000
f_32,0070706061607000
f_18,0010307161697010
f_24,0030b07070303020
f_30,0030727070723030
f_125,0030b03131303000
f_131,1030706169703000
f_119,0000303232b21000
f_290,0060e0e0c0c0c0e4
f_284,0020003072606072
f_253,0010007072727272
f_247,0000003270606030
f_246,1000307070707030
f_252,00000030b9393938
f_285,0010005831b13918
f_291,0000207062723230
f_118,001030b9b1b83830
f_130,0030b06060b01000
f_124,0030706878700008
f_31,0070707060607000
f_25,0030727070301000
f_19,1030797179703000
f_42,0010b07060707070
f_4,0010b0b0b0b03200
f_56,0030706262626000
f_180,0010303030303000
f_194,1000307068706030
f_81,0030706969707000
f_95,0030706969693000
f_143,0010b23030b03030
f_157,100030706870b030
f_209,0010707060697030
f_235,0010b0b0b03030b0
f_221,1000307060707272
f_220,100030327070b210
f_234,00000064e4c46460
f_208,0000206062726060
f_156,0010306969697030
f_142,000032b0b0b03000
f_94,3070606969697030
f_80,006070e0f0707030
f_195,0000307069697070
f_181,0000303030b03000
f_5,0010b0b0b0b03000
f_57,0030726060727060
f_43,0010306070707070
f_55,0000706060727000
f_7,0010b2b030b0b030
f_41,0010b06060703000
f_69,001030b0b0b03818
f_197,000010b232723030
f_183,001030b9b9b03018
f_96,3070606969613000
f_168,0030327068607000
f_82,0030706969607060
f_154,0010306068707800
f_140,3070707069707000
f_222,0020707272726020
f_236,1000b07272323032
f_237,0020003072687070
f_223,100030b1b1313918
f_141,3030707169703000
f_155,0000307070707038
f_83,0030706969697830
f_97,0030316060687030
f_169,1000303272707060
f_182,0030727070323000
f_68,0030727070323030
f_196,100030b230303030
f_40,1030717169703000
f_54,0020706262626060
f_6,001830b1b1391800
f_192,100030b0b0b03000
f_78,006072e0e0e06030
f_186,001030b9b9b13800
f_2,0010b23030b03030
f_50,0010303060303000
f_44,1000307262727072
f_151,0010b0b1b9b1b030
f_145,0010726060707030
f_93,3070696969791800
f_87,0030726969696070
f_179,1000307272323200
f_227,0040c0c0c0c4c020
f_233,0000206060626060
f_232,2000306262727270
f_226,0000103070787030
f_86,0030706969696000
f_178,100030303931b000
f_92,006060e8e9e86070
f_144,1000307262723000
f_150,000030b1b9b9b838
f_45,0000306060707030
f_3,0010b03030b0b230
f_51,0020606262606060
f_79,00707068e9607030
f_187,0010b0b8b8b0b230
f_193,1000303270703020
f_185,100030b03939b030
f_191,001030b0b0b03038
f_47,0030706060703070
f_53,0030726060726060
f_1,0030b23070b0b010
f_146,0000307222b23000
f_152,0010b0b0b0b23210
f_84,0010706169696060
f_90,0030706969696030
f_230,100038b9b9393010
f_224,0060627060607000
f_218,0000303070703030
f_219,0000007072626272
f_225,2000307272723210
f_231,1000307272627030
f_91,3070696169691800
f_85,0030706169696000
f_153,0000307068703000
f_147,0030306060606800
f_52,0020706262626062
f_46,0010303060703028
f_190,0000b03270323030
f_184,001030b9b9303000
