F_id,Hash
f_63,e493989979396666
f_189,e6399e9838999966
f_77,e59296d9998d9964
f_162,b031cbc79dcc649c
f_176,e59b9a9a19696722
f_88,b0c9cb2e343361cf
f_228,e7679a9e29992621
f_214,b886cdc6c6c63b26
f_200,e6799a986599c664
f_201,b2c3cd1ece703631
f_215,b838c5c8c7c633c7
f_229,e664999a65396666
f_177,e666989a39999b61
f_89,e7949c9b99236166
f_163,b339cdc7cc4c3231
f_188,b298cfc96ccc9926
f_76,bb1cc827c6d1c7c1
f_62,e6319a9e69998966
f_74,bbccc0c6e6c33389
f_60,b2cdcf994c313233
f_48,b1c7cdce26c61833
f_149,e699986469669b36
f_175,b233cdcf2c9c8c26
f_161,e767989e82999931
f_203,b3cccfcc3c1932c8
f_217,b093cf6ccc723493
f_216,ed1b9896939a6469
f_202,b2cdcd34c333cc83
f_160,b336cd9b1ccc9930
f_174,e5659e8664989e65
f_148,e69998cd19266667
f_49,e69a989961667666
f_61,e631cccec94c9966
f_75,e5679e86669a8c32
f_59,e698989939cd6666
f_71,b030cbc3cdcdc78c
f_65,e536989892999b6d
f_170,e66d9a9a2c499966
f_164,e73398ce6d992622
f_158,b398ddcc4c993233
f_206,b3cdcd34c133cc91
f_212,b8cec671273938cc
f_213,e74d9c319992d992
f_207,b3cccfcccc323033
f_159,e7cc9a9b0c993166
f_165,e63398ce99996433
f_171,e699ccce39382633
f_64,b126cdcdc6ccc730
f_70,b32ccfcd6ccc3230
f_58,b0c7cdcd26cc3931
f_8,b1cecdcc66389331
f_198,b3c6cd994c393233
f_66,b132cdccc6c6ce31
f_72,b0d9c3cfccc69c24
f_167,e7619a96d998cc19
f_99,e59894999acb636c
f_173,b030cbd333c9cb33
f_211,e664c99b99cc616c
f_205,e68c99336d666698
f_239,e69998cc65996633
f_238,e7989a5969a66692
f_204,b2cccf634c33319c
f_210,b364cfcbcc8c1c32
f_172,e6cc999b29236666
f_166,e699cccc31cc6366
f_98,b4cbc34c663233d9
f_73,e59a969919cd3166
f_199,e766cc9b18899933
f_67,e592989873996d66
f_9,b331cdc7cccc3238
f_14,b0c3cb3ccc3330db
f_28,b399cdce4c669832
f_129,b333cdcdc68c8c8c
f_101,e63399ce4ccc9926
f_115,b4c3cb389366c68e
f_303,b233c119cfccce8c
f_317,e6999a9965366664
f_288,b399cccc66cc3c32
f_277,b1cdcd6ecb262132
f_263,b36c9bce33888c33
f_262,b0cfcb2ccc326c33
f_276,b833c7cd26c6383a
f_289,b399cfcd348c3330
f_316,e784986b9b86659c
f_302,b8c7c718c6383373
f_114,e465cf86369c9a98
f_100,b4cbc36c363039d9
f_128,e667989a92999999
f_29,b338cfcf8ccc8c30
f_15,ed999c33932662cc
f_17,ed6998959392a693
f_116,b332cdcf83cccc24
f_102,e69b989965926633
f_314,e69998316966669e
f_300,e6cc9933396466cc
f_248,b0c9cf6ccc32329b
f_260,e767989e69992621
f_274,e699996471666693
f_275,b224cfc7c69b9a22
f_261,b333cdcf2ccc8630
f_249,b1cec9cc66cc3833
f_301,b232cdcfcccc862c
f_315,b0cbcf2c8c3339c3
f_103,e6338c8e3999cc27
f_117,b230cfcb4cccdd30
f_16,b063cd9cc6cc326e
f_12,e5659e8619996369
f_113,b09bcf2c92339b2c
f_107,b3ce996c389322cb
f_311,b364cccb8bcc8c99
f_305,e66798988d599966
f_265,b09bcb6dcc360c33
f_271,b332cdcbcccc311c
f_259,e665989a39996665
f_258,b3cecd3124c7338c
f_270,e59a9e3999658926
f_264,e699cd31196663c6
f_304,e6318ccf65993866
f_310,a439cfcb1c996299
f_106,e76c989859996663
f_112,b031cb9389cfcccc
f_13,e58c9e3199676d24
f_39,b038cbe7ccc624ce
f_11,e5659e9665989a25
f_104,b29bcd1c2493339b
f_110,e7669898c6cc9939
f_138,b364dc9b30cc9933
f_306,e669989a71596366
f_312,b324cdc3cd18ccc7
f_299,e5619a96339b8633
f_272,b366cd998c99334c
f_266,e6999a8c65996633
f_267,b0e1cf0eced831c3
f_273,b08cc9c6cdc7ccc6
f_298,b030cfc9c1cecf0e
f_313,e76599329eb68c22
f_307,b08ccbcdcccd34cc
f_139,e78c9a39c9666466
f_111,e765989a92999933
f_105,e6998c9a99cc9966
f_10,e6c99a9299666566
f_38,b099c966ce323ec3
f_21,b232cfcb2ccccd30
f_35,e5659e9699986199
f_108,e6319c9a6dcd8926
f_120,e6339998666ccc66
f_134,e6319e9964996665
f_295,e7999a651936239a
f_281,b2cecd303c6333cc
f_256,b1cecc6630c731ce
f_242,b234cfcd33cc8c32
f_243,e799986169666699
f_257,b230c9c1cccf2ece
f_280,b299cec76c983299
f_294,b1cecd343331ce8c
f_135,b332ccc938cccd33
f_121,b333cccd662c9833
f_109,e764989acc999933
f_34,b039c927cec636c6
f_20,e58c9e3199676586
f_36,b030c9c3cecf36c6
f_22,e6999c9865996666
f_137,e766cc98338cc933
f_123,e7669899334ccc66
f_309,b132cdcf93cccc30
f_282,b231cfcf2ccccc18
f_296,b331ccc6cccc3399
f_269,e69c986199376473
f_241,b31ccdc74c3c3331
f_255,b230cfc76ccc3338
f_254,b232cdcf2ccc3332
f_240,e699989961d96666
f_268,b939c4c00fc7c337
f_297,b398cde3cc343299
f_283,b399cc66303363cd
f_320,b0ccc3cdcccc3c66
f_308,b34ccfc930cc6533
f_122,b366cc9933646633
f_136,b2cecf4c2c7330c3
f_23,e46d9b9493936463
f_37,e59a9e3999672126
f_33,e5669e3099cb6998
f_27,e6499a9299339c67
f_132,b2308ccb33e3cd93
f_126,e666989a66999939
f_318,b38ccfcbcc24cc32
f_287,b232cfcb938ccc19
f_293,b3cccdcd308c33c6
f_244,b08ecdc736ce310e
f_250,b0c6cbce8ccd30cd
f_278,e69b996dc9263223
f_279,b033c983ceccc3ce
f_251,b324c3cd9330cccf
f_245,b132cfc9c68cce38
f_292,b1cecc30363333ce
f_286,b030cfcdc113cecd
f_319,b2cccf1c3c3332c3
f_127,e79a989969366686
f_133,b09bcf6ccc3033c3
f_26,b334cfc3cc4ccc38
f_32,b4c3cb3c8c643d66
f_18,b0c6c9ce66991e33
f_24,b398cfc7cc669830
f_30,b266cf998ccd3226
f_125,e766989a61c99933
f_131,e7658e96268e9a32
f_119,e63399cc64793233
f_290,b836c0ccc7c639c7
f_284,b2cbcd34cc63328b
f_253,b3cccd301c3366cd
f_247,b299cc98396633b3
f_246,b364cfcb82cc998c
f_252,e79c9a699936650c
f_285,e69a996563666499
f_291,b398cfcf649c3230
f_118,e765989a92999963
f_130,b299cf64183233db
f_124,b232cdcfc78c8c98
f_31,b030cbc38dcde6cc
f_25,e4629a9c9b499967
f_19,e5949c6b99656784
f_42,b299cf8c6c263167
f_4,b366cdc9c6983332
f_56,b063cfc9c61ccc3a
f_180,b232ccce39993366
f_194,b231ce9a2ccccd66
f_81,b030cfc332ce9b33
f_95,ed669c8c929c9399
f_143,e699cc39653266cc
f_157,b399cfcc24323333
f_209,b036cfcbcc99306c
f_235,e76c9b8e9e249898
f_221,b2cccbcc4cd930e3
f_220,e3999c6669323399
f_234,b133cecd3cc63131
f_208,b2cecdc96c383326
f_156,b164cbd3cc999839
f_142,e665999a99c96631
f_94,b8cec1c6c7333319
f_80,b499c39acccd38cc
f_195,b36ccbcc6dcc3230
f_181,e664ce9a38996963
f_5,e4699a949b338967
f_57,e49b9892639a6c6d
f_43,e6999a9931cc6666
f_55,e566989893999b66
f_7,e699989b61c9cc66
f_41,e6319ace99989966
f_69,e6999292636c6ccd
f_197,b326cc996c993366
f_183,e6199e9ac9cd9864
f_96,b0cdc9cec6326639
f_168,b330cf83cc99cc66
f_82,b0cfdb4c19323333
f_154,b264cf9b9ccc3164
f_140,b0309bc361cbc7cd
f_222,b299cfccccc63138
f_236,b39ccfcf0c8ccc24
f_237,b226cbce19cc33cc
f_223,e69b98643966669a
f_141,e5969e3998651966
f_155,b331cdce6c8c3331
f_83,ef989492736c6989
f_97,e19c961b39676466
f_169,b36499cc338c6967
f_182,e3619c9e34999963
f_68,b163ccc73ec63922
f_196,b3cc99cc64992673
f_40,e5269e19994d699c
f_54,b8c7cdcc26c43b31
f_6,b133ccc9c6cc9867
f_192,e693989c996cc666
f_78,bfc4c063e3191f98
f_186,e639989a994d9966
f_2,e36499cc6431dc73
f_50,b29bcf18cc663166
f_44,b8c7cdce26c43931
f_151,e798986167669873
f_145,b2cccd313833c6ce
f_93,ed9e943393cc624c
f_87,eb999552634c6999
f_179,b266cc9b39c92333
f_227,b939c0c40fc7c63b
f_233,b3cccd24343333cd
f_232,b219cfcf4ccc2638
f_226,e667989a65999926
f_86,b036c393cfc91ccc
f_178,e767989a69999826
f_92,b09acb6dcc643c33
f_144,b330cdcfcc989833
f_150,e619989e99696566
f_45,e4669a98939b9966
f_3,e6499a929b63cc66
f_51,e66d9bcc18998867
f_79,e493ce3c99cc318e
f_187,e66d989a99339932
f_193,e667989c69996466
f_185,e7cc989b8999cc31
f_191,e6999a9839c98667
f_47,e493989b639b9c64
f_53,e592989a1b996b63
f_1,b366cc99cc398933
f_146,b331cccecd343433
f_152,e6cd999a99238966
f_84,bbc0c9c7c61b3338
f_90,b0cbc3cc6e3231b3
f_230,e666999865396666
f_224,ba30c1c9cecf3646
f_218,e699ce994c9833cc
f_219,b2cecd30cc3366c3
f_225,e69b996499646633
f_231,b333cccd30cc3333
f_91,e5619a96669b8a66
f_85,e765948c5b989966
f_153,b364cf9b0ccdc832
f_147,e7659a9698988e99
f_52,e6989a99398b6726
f_46,b066cfc9ce1ccc38
f_190,e6c99a9839999366
f_184,e661989e99199967
