F_id,hamming distance
f_63,10
f_189,12
f_77,16
f_162,6
f_176,5
f_88,9
f_228,14
f_214,10
f_200,4
f_201,11
f_215,11
f_229,10
f_177,8
f_89,12
f_163,7
f_188,8
f_76,13
f_62,3
f_74,15
f_60,3
f_48,10
f_149,2
f_175,10
f_161,3
f_203,4
f_217,5
f_216,10
f_202,3
f_160,4
f_174,10
f_148,3
f_49,2
f_61,6
f_75,15
f_59,11
f_71,4
f_65,15
f_170,5
f_164,8
f_158,3
f_206,3
f_212,8
f_213,9
f_207,5
f_159,6
f_165,7
f_171,4
f_64,8
f_70,7
f_58,4
f_8,13
f_198,7
f_66,9
f_72,3
f_167,10
f_99,7
f_173,13
f_211,8
f_205,8
f_239,5
f_238,9
f_204,5
f_210,5
f_172,1
f_166,4
f_98,10
f_73,9
f_199,8
f_67,15
f_9,1
f_14,6
f_28,2
f_129,13
f_101,8
f_115,4
f_303,12
f_317,4
f_288,6
f_277,6
f_263,14
f_262,8
f_276,16
f_289,5
f_316,11
f_302,7
f_114,10
f_100,11
f_128,12
f_29,3
f_15,12
f_17,12
f_116,7
f_102,4
f_314,10
f_300,8
f_248,10
f_260,6
f_274,5
f_275,5
f_261,10
f_249,6
f_301,10
f_315,10
f_103,5
f_117,12
f_16,9
f_12,2
f_113,4
f_107,3
f_311,8
f_305,9
f_265,8
f_271,6
f_259,10
f_258,8
f_270,8
f_264,9
f_304,13
f_310,10
f_106,6
f_112,8
f_13,6
f_39,5
f_11,6
f_104,3
f_110,13
f_138,9
f_306,11
f_312,3
f_299,15
f_272,5
f_266,12
f_267,9
f_273,7
f_298,9
f_313,4
f_307,8
f_139,2
f_111,14
f_105,7
f_10,2
f_38,11
f_21,4
f_35,6
f_108,8
f_120,6
f_134,6
f_295,10
f_281,11
f_256,3
f_242,10
f_243,9
f_257,10
f_280,7
f_294,2
f_135,9
f_121,8
f_109,4
f_34,8
f_20,6
f_36,5
f_22,3
f_137,10
f_123,8
f_309,10
f_282,9
f_296,9
f_269,2
f_241,4
f_255,6
f_254,5
f_240,5
f_268,11
f_297,9
f_283,6
f_320,6
f_308,13
f_122,9
f_136,4
f_23,6
f_37,5
f_33,4
f_27,12
f_132,11
f_126,10
f_318,7
f_287,6
f_293,6
f_244,10
f_250,9
f_278,8
f_279,15
f_251,14
f_245,6
f_292,4
f_286,10
f_319,3
f_127,6
f_133,6
f_26,7
f_32,1
f_18,14
f_24,6
f_30,2
f_125,7
f_131,8
f_119,5
f_290,10
f_284,9
f_253,4
f_247,7
f_246,8
f_252,10
f_285,8
f_291,5
f_118,10
f_130,7
f_124,9
f_31,4
f_25,10
f_19,10
f_42,0
f_4,11
f_56,6
f_180,4
f_194,12
f_81,7
f_95,12
f_143,1
f_157,2
f_209,9
f_235,7
f_221,4
f_220,4
f_234,10
f_208,6
f_156,6
f_142,6
f_94,17
f_80,5
f_195,9
f_181,8
f_5,4
f_57,17
f_43,10
f_55,15
f_7,5
f_41,7
f_69,5
f_197,9
f_183,7
f_96,13
f_168,7
f_82,5
f_154,7
f_140,8
f_222,3
f_236,4
f_237,16
f_223,3
f_141,4
f_155,8
f_83,14
f_97,5
f_169,7
f_182,7
f_68,10
f_196,7
f_40,4
f_54,9
f_6,13
f_192,4
f_78,16
f_186,9
f_2,6
f_50,7
f_44,7
f_151,1
f_145,1
f_93,13
f_87,16
f_179,7
f_227,9
f_233,4
f_232,8
f_226,16
f_86,8
f_178,12
f_92,2
f_144,5
f_150,5
f_45,11
f_3,8
f_51,9
f_79,2
f_187,8
f_193,11
f_185,7
f_191,6
f_47,16
f_53,16
f_1,6
f_146,5
f_152,2
f_84,14
f_90,2
f_230,8
f_224,11
f_218,5
f_219,5
f_225,8
f_231,7
f_91,7
f_85,17
f_153,9
f_147,9
f_52,6
f_46,11
f_190,6
f_184,4
