F_id,hashtech
63,10
189,12
77,16
162,6
176,5
88,9
228,14
214,10
200,4
201,11
215,11
229,10
177,8
89,12
163,7
188,8
76,13
62,3
74,15
60,3
48,10
149,2
175,10
161,3
203,4
217,5
216,10
202,3
160,4
174,10
148,3
49,2
61,6
75,15
59,11
71,4
65,15
170,5
164,8
158,3
206,3
212,8
213,9
207,5
159,6
165,7
171,4
64,8
70,7
58,4
8,13
198,7
66,9
72,3
167,10
99,7
173,13
211,8
205,8
239,5
238,9
204,5
210,5
172,1
166,4
98,10
73,9
199,8
67,15
9,1
14,6
28,2
129,13
101,8
115,4
303,12
317,4
288,6
277,6
263,14
262,8
276,16
289,5
316,11
302,7
114,10
100,11
128,12
29,3
15,12
17,12
116,7
102,4
314,10
300,8
248,10
260,6
274,5
275,5
261,10
249,6
301,10
315,10
103,5
117,12
16,9
12,2
113,4
107,3
311,8
305,9
265,8
271,6
259,10
258,8
270,8
264,9
304,13
310,10
106,6
112,8
13,6
39,5
11,6
104,3
110,13
138,9
306,11
312,3
299,15
272,5
266,12
267,9
273,7
298,9
313,4
307,8
139,2
111,14
105,7
10,2
38,11
21,4
35,6
108,8
120,6
134,6
295,10
281,11
256,3
242,10
243,9
257,10
280,7
294,2
135,9
121,8
109,4
34,8
20,6
36,5
22,3
137,10
123,8
309,10
282,9
296,9
269,2
241,4
255,6
254,5
240,5
268,11
297,9
283,6
320,6
308,13
122,9
136,4
23,6
37,5
33,4
27,12
132,11
126,10
318,7
287,6
293,6
244,10
250,9
278,8
279,15
251,14
245,6
292,4
286,10
319,3
127,6
133,6
26,7
32,1
18,14
24,6
30,2
125,7
131,8
119,5
290,10
284,9
253,4
247,7
246,8
252,10
285,8
291,5
118,10
130,7
124,9
31,4
25,10
19,10
42,0
4,11
56,6
180,4
194,12
81,7
95,12
143,1
157,2
209,9
235,7
221,4
220,4
234,10
208,6
156,6
142,6
94,17
80,5
195,9
181,8
5,4
57,17
43,10
55,15
7,5
41,7
69,5
197,9
183,7
96,13
168,7
82,5
154,7
140,8
222,3
236,4
237,16
223,3
141,4
155,8
83,14
97,5
169,7
182,7
68,10
196,7
40,4
54,9
6,13
192,4
78,16
186,9
2,6
50,7
44,7
151,1
145,1
93,13
87,16
179,7
227,9
233,4
232,8
226,16
86,8
178,12
92,2
144,5
150,5
45,11
3,8
51,9
79,2
187,8
193,11
185,7
191,6
47,16
53,16
1,6
146,5
152,2
84,14
90,2
230,8
224,11
218,5
219,5
225,8
231,7
91,7
85,17
153,9
147,9
52,6
46,11
190,6
184,4
