F_id,HashTech
63,26
189,34
77,32
162,26
176,16
88,28
228,26
214,38
200,20
201,20
215,32
229,34
177,36
89,30
163,30
188,16
76,26
62,22
74,26
60,14
48,18
149,24
175,34
161,20
203,14
217,14
216,26
202,14
160,14
174,32
148,20
49,12
61,38
75,32
59,24
71,14
65,38
170,24
164,32
158,16
206,16
212,18
213,24
207,18
159,28
165,28
171,24
64,28
70,22
58,18
8,26
198,28
66,36
72,12
167,28
99,12
173,34
211,28
205,22
239,36
238,34
204,16
210,28
172,20
166,24
98,30
73,30
199,30
67,36
9,12
14,26
28,16
129,30
101,22
115,18
303,24
317,28
288,34
277,20
263,26
262,24
276,36
289,28
316,30
302,18
114,34
100,32
128,24
29,16
15,26
17,22
116,38
102,16
314,32
300,20
248,30
260,38
274,18
275,22
261,40
249,26
301,36
315,34
103,26
117,26
16,16
12,12
113,20
107,12
311,32
305,36
265,22
271,28
259,40
258,32
270,24
264,22
304,24
310,34
106,22
112,28
13,16
39,24
11,26
104,14
110,34
138,38
306,38
312,26
299,40
272,26
266,30
267,24
273,28
298,36
313,20
307,28
139,16
111,26
105,24
10,14
38,30
21,20
35,30
108,30
120,16
134,14
295,20
281,26
256,12
242,38
243,28
257,32
280,30
294,12
135,24
121,24
109,26
34,14
20,32
36,14
22,20
137,30
123,36
309,30
282,34
296,32
269,16
241,28
255,34
254,32
240,32
268,40
297,28
283,32
320,24
308,30
122,36
136,12
23,24
37,30
33,22
27,28
132,24
126,30
318,26
287,30
293,32
244,30
250,30
278,32
279,30
251,32
245,26
292,16
286,30
319,24
127,18
133,22
26,18
32,12
18,38
24,24
30,10
125,30
131,28
119,20
290,32
284,24
253,26
247,34
246,32
252,22
285,20
291,38
118,28
130,24
124,36
31,18
25,34
19,24
42,4
4,22
56,28
180,32
194,30
81,36
95,22
143,10
157,10
209,30
235,32
221,26
220,24
234,28
208,26
156,38
142,30
94,38
80,24
195,28
181,38
5,30
57,32
43,26
55,34
7,16
41,36
69,18
197,28
183,26
96,32
168,20
82,16
154,30
140,16
222,22
236,28
237,34
223,18
141,20
155,28
83,30
97,14
169,32
182,28
68,20
196,14
40,14
54,20
6,38
192,20
78,32
186,32
2,22
50,28
44,32
151,8
145,20
93,24
87,38
179,36
227,38
233,20
232,32
226,32
86,28
178,36
92,6
144,36
150,26
45,36
3,16
51,24
79,18
187,18
193,32
185,24
191,20
47,34
53,26
1,34
146,18
152,18
84,32
90,12
230,32
224,24
218,16
219,12
225,28
231,34
91,34
85,30
153,30
147,30
52,16
46,34
190,24
184,26
