F_id,HashTech
63,4
189,8
77,15
162,20
176,4
88,9
228,10
214,12
200,6
201,11
215,20
229,11
177,8
89,11
163,17
188,4
76,15
62,8
74,14
60,8
48,20
149,9
175,6
161,6
203,18
217,8
216,8
202,5
160,7
174,10
148,6
49,5
61,10
75,15
59,8
71,10
65,22
170,17
164,9
158,13
206,8
212,19
213,14
207,15
159,6
165,6
171,7
64,10
70,9
58,13
8,10
198,5
66,17
72,4
167,8
99,4
173,12
211,9
205,6
239,9
238,8
204,12
210,6
172,8
166,7
98,13
73,11
199,7
67,12
9,5
14,10
28,4
129,22
101,10
115,12
303,11
317,16
288,7
277,9
263,8
262,7
276,22
289,8
316,14
302,12
114,13
100,15
128,16
29,8
15,13
17,14
116,11
102,0
314,15
300,17
248,11
260,15
274,10
275,2
261,15
249,11
301,12
315,15
103,10
117,11
16,13
12,4
113,8
107,6
311,12
305,9
265,13
271,5
259,11
258,20
270,6
264,17
304,14
310,12
106,4
112,12
13,9
39,9
11,8
104,3
110,17
138,7
306,10
312,10
299,21
272,6
266,12
267,15
273,10
298,18
313,3
307,7
139,2
111,12
105,4
10,9
38,12
21,17
35,8
108,7
120,12
134,8
295,6
281,20
256,5
242,18
243,12
257,19
280,8
294,9
135,12
121,7
109,3
34,11
20,10
36,16
22,4
137,10
123,21
309,26
282,10
296,12
269,4
241,19
255,9
254,19
240,6
268,17
297,7
283,10
320,6
308,7
122,8
136,1
23,17
37,11
33,13
27,12
132,11
126,14
318,9
287,23
293,16
244,13
250,12
278,11
279,19
251,9
245,10
292,2
286,22
319,10
127,2
133,5
26,8
32,6
18,19
24,11
30,5
125,8
131,6
119,3
290,9
284,12
253,16
247,13
246,11
252,15
285,8
291,11
118,8
130,4
124,10
31,7
25,9
19,9
42,0
4,8
56,15
180,6
194,18
81,11
95,13
143,2
157,12
209,11
235,10
221,5
220,5
234,12
208,13
156,9
142,8
94,17
80,6
195,6
181,20
5,8
57,10
43,3
55,17
7,2
41,8
69,9
197,9
183,6
96,12
168,9
82,2
154,7
140,7
222,0
236,9
237,12
223,6
141,7
155,9
83,18
97,3
169,7
182,10
68,14
196,7
40,5
54,17
6,19
192,15
78,15
186,15
2,8
50,6
44,13
151,10
145,3
93,17
87,21
179,16
227,15
233,1
232,17
226,15
86,9
178,26
92,5
144,11
150,9
45,14
3,13
51,7
79,7
187,7
193,12
185,4
191,2
47,12
53,10
1,7
146,18
152,7
84,15
90,9
230,8
224,9
218,5
219,6
225,5
231,11
91,6
85,18
153,10
147,8
52,5
46,15
190,5
184,7
