F_id,HashTech
63,19
189,14
77,19
162,11
176,8
88,24
228,14
214,12
200,7
201,14
215,16
229,6
177,8
89,28
163,12
188,7
76,16
62,6
74,18
60,10
48,8
149,7
175,13
161,6
203,6
217,5
216,19
202,7
160,9
174,14
148,9
49,8
61,10
75,22
59,16
71,8
65,28
170,9
164,9
158,7
206,6
212,10
213,20
207,9
159,10
165,7
171,9
64,11
70,8
58,7
8,21
198,12
66,21
72,16
167,9
99,14
173,14
211,11
205,6
239,11
238,13
204,6
210,11
172,5
166,11
98,19
73,15
199,5
67,22
9,3
14,8
28,10
129,12
101,12
115,14
303,13
317,9
288,12
277,16
263,11
262,9
276,12
289,10
316,16
302,11
114,16
100,17
128,12
29,3
15,18
17,20
116,9
102,3
314,10
300,9
248,15
260,14
274,9
275,10
261,11
249,11
301,14
315,11
103,14
117,14
16,11
12,9
113,9
107,6
311,10
305,15
265,15
271,9
259,10
258,10
270,10
264,10
304,13
310,16
106,8
112,16
13,14
39,10
11,10
104,9
110,14
138,5
306,8
312,4
299,21
272,10
266,12
267,18
273,14
298,10
313,10
307,14
139,6
111,15
105,4
10,13
38,18
21,11
35,6
108,15
120,7
134,2
295,12
281,16
256,4
242,11
243,14
257,20
280,10
294,3
135,11
121,11
109,6
34,13
20,13
36,14
22,5
137,8
123,15
309,10
282,11
296,14
269,5
241,8
255,11
254,9
240,10
268,15
297,10
283,13
320,8
308,10
122,9
136,7
23,14
37,10
33,12
27,19
132,11
126,13
318,10
287,10
293,10
244,15
250,8
278,9
279,23
251,15
245,6
292,3
286,11
319,5
127,6
133,12
26,13
32,5
18,23
24,8
30,6
125,11
131,13
119,8
290,7
284,14
253,11
247,13
246,9
252,15
285,16
291,12
118,14
130,6
124,13
31,9
25,17
19,14
42,4
4,17
56,13
180,7
194,10
81,14
95,25
143,8
157,7
209,8
235,9
221,13
220,11
234,13
208,9
156,8
142,7
94,22
80,10
195,8
181,10
5,17
57,21
43,13
55,19
7,13
41,11
69,13
197,11
183,8
96,21
168,12
82,6
154,10
140,8
222,5
236,11
237,15
223,10
141,10
155,14
83,23
97,11
169,11
182,8
68,15
196,10
40,9
54,14
6,22
192,8
78,14
186,14
2,5
50,9
44,20
151,6
145,8
93,24
87,26
179,11
227,9
233,3
232,13
226,12
86,18
178,10
92,11
144,10
150,11
45,20
3,18
51,16
79,8
187,8
193,15
185,10
191,5
47,21
53,24
1,11
146,10
152,5
84,23
90,15
230,9
224,12
218,7
219,11
225,14
231,12
91,17
85,24
153,10
147,16
52,10
46,11
190,7
184,10
