F_id,hamming distance
f_63,14
f_189,9
f_77,17
f_162,11
f_176,7
f_88,18
f_228,13
f_214,12
f_200,3
f_201,12
f_215,12
f_229,8
f_177,11
f_89,21
f_163,4
f_188,5
f_76,22
f_62,3
f_74,19
f_60,6
f_48,15
f_149,2
f_175,8
f_161,5
f_203,6
f_217,7
f_216,9
f_202,3
f_160,4
f_174,9
f_148,4
f_49,5
f_61,7
f_75,15
f_59,15
f_71,9
f_65,17
f_170,6
f_164,7
f_158,4
f_206,5
f_212,7
f_213,18
f_207,6
f_159,5
f_165,5
f_171,2
f_64,10
f_70,9
f_58,7
f_8,12
f_198,6
f_66,15
f_72,8
f_167,11
f_99,14
f_173,13
f_211,6
f_205,7
f_239,4
f_238,12
f_204,7
f_210,6
f_172,2
f_166,2
f_98,11
f_73,14
f_199,8
f_67,15
f_9,2
f_14,11
f_28,3
f_129,8
f_101,8
f_115,11
f_303,17
f_317,4
f_288,4
f_277,14
f_263,10
f_262,10
f_276,14
f_289,3
f_316,13
f_302,5
f_114,14
f_100,18
f_128,12
f_29,3
f_15,19
f_17,15
f_116,5
f_102,4
f_314,5
f_300,6
f_248,12
f_260,10
f_274,8
f_275,5
f_261,8
f_249,9
f_301,10
f_315,13
f_103,7
f_117,12
f_16,14
f_12,4
f_113,8
f_107,2
f_311,7
f_305,11
f_265,10
f_271,5
f_259,10
f_258,5
f_270,7
f_264,11
f_304,10
f_310,17
f_106,12
f_112,18
f_13,13
f_39,9
f_11,12
f_104,7
f_110,11
f_138,8
f_306,8
f_312,6
f_299,16
f_272,7
f_266,8
f_267,12
f_273,8
f_298,9
f_313,4
f_307,13
f_139,4
f_111,13
f_105,4
f_10,6
f_38,15
f_21,4
f_35,7
f_108,11
f_120,3
f_134,2
f_295,10
f_281,7
f_256,2
f_242,8
f_243,7
f_257,11
f_280,5
f_294,4
f_135,6
f_121,5
f_109,7
f_34,17
f_20,10
f_36,18
f_22,3
f_137,9
f_123,10
f_309,11
f_282,4
f_296,7
f_269,6
f_241,8
f_255,5
f_254,6
f_240,6
f_268,13
f_297,7
f_283,4
f_320,9
f_308,8
f_122,6
f_136,4
f_23,8
f_37,10
f_33,10
f_27,12
f_132,11
f_126,12
f_318,7
f_287,8
f_293,3
f_244,12
f_250,13
f_278,6
f_279,21
f_251,9
f_245,6
f_292,5
f_286,15
f_319,5
f_127,3
f_133,12
f_26,8
f_32,4
f_18,19
f_24,7
f_30,7
f_125,8
f_131,7
f_119,2
f_290,12
f_284,8
f_253,5
f_247,6
f_246,10
f_252,9
f_285,6
f_291,4
f_118,7
f_130,6
f_124,10
f_31,8
f_25,14
f_19,16
f_42,2
f_4,9
f_56,10
f_180,6
f_194,13
f_81,12
f_95,20
f_143,3
f_157,4
f_209,10
f_235,7
f_221,4
f_220,4
f_234,6
f_208,5
f_156,10
f_142,4
f_94,26
f_80,6
f_195,12
f_181,10
f_5,8
f_57,16
f_43,11
f_55,16
f_7,7
f_41,6
f_69,11
f_197,6
f_183,11
f_96,20
f_168,10
f_82,4
f_154,10
f_140,9
f_222,6
f_236,2
f_237,18
f_223,4
f_141,11
f_155,6
f_83,19
f_97,10
f_169,5
f_182,10
f_68,13
f_196,3
f_40,7
f_54,10
f_6,19
f_192,6
f_78,15
f_186,11
f_2,4
f_50,6
f_44,13
f_151,4
f_145,1
f_93,17
f_87,20
f_179,9
f_227,7
f_233,4
f_232,4
f_226,14
f_86,10
f_178,11
f_92,3
f_144,3
f_150,6
f_45,14
f_3,9
f_51,9
f_79,6
f_187,5
f_193,11
f_185,4
f_191,9
f_47,15
f_53,15
f_1,7
f_146,4
f_152,4
f_84,18
f_90,11
f_230,7
f_224,10
f_218,4
f_219,5
f_225,6
f_231,6
f_91,8
f_85,19
f_153,10
f_147,13
f_52,10
f_46,17
f_190,6
f_184,7
